Date,Price (USD/pound)
2018-08-03,1.0775
2018-08-06,1.0875
2018-08-07,1.0905
2018-08-08,1.0785
2018-08-09,1.0765
2018-08-10,1.07
2018-08-13,1.0625
2018-08-14,1.0505
2018-08-15,1.024
2018-08-16,1.017
2018-08-17,1.012
2018-08-20,0.9725
2018-08-21,0.9795
2018-08-22,0.964
2018-08-23,1.015
2018-08-24,1.047
2018-08-27,1.0575
2018-08-28,1.0305
2018-08-29,1.029
2018-08-30,1.0265
2018-08-31,1.018
2018-09-04,1.0145
2018-09-05,1.038
2018-09-06,1.022
2018-09-07,1.0245
2018-09-10,1.0125
2018-09-11,1.0045
2018-09-12,1.021
2018-09-13,1.0065
2018-09-14,0.997
2018-09-17,0.973
2018-09-18,0.9585
2018-09-19,0.967
2018-09-20,0.9975
2018-09-21,0.999
2018-09-24,0.985
2018-09-25,0.971
2018-09-26,0.9775
2018-09-27,0.993
2018-09-28,1.0245
2018-10-01,1.022
2018-10-02,1.0765
2018-10-03,1.066
2018-10-04,1.0695
2018-10-05,1.0895
2018-10-08,1.1185
2018-10-09,1.1315
2018-10-10,1.119
2018-10-11,1.129
2018-10-12,1.1655
2018-10-15,1.1935
2018-10-16,1.1765
2018-10-17,1.2255
2018-10-18,1.2205
2018-10-19,1.221
2018-10-22,1.1765
2018-10-23,1.211
2018-10-24,1.2025
2018-10-25,1.2115
2018-10-26,1.1965
2018-10-29,1.1425
2018-10-30,1.124
2018-10-31,1.127
2018-11-01,1.178
2018-11-02,1.2005
2018-11-05,1.171
2018-11-06,1.1325
2018-11-07,1.156
2018-11-08,1.1665
2018-11-09,1.1385
2018-11-12,1.1015
2018-11-13,1.092
2018-11-14,1.1265
2018-11-15,1.1005
2018-11-16,1.126
2018-11-19,1.1235
2018-11-20,1.1065
2018-11-21,1.141
2018-11-23,1.1095
2018-11-26,1.108
2018-11-27,1.133
2018-11-28,1.139
2018-11-29,1.123
2018-11-30,1.0755
2018-12-03,1.078
2018-12-04,1.069
2018-12-05,1.0595
2018-12-06,1.0595
2018-12-07,1.041
2018-12-10,1.0515
2018-12-11,1.0235
2018-12-12,1.0305
2018-12-13,1.041
2018-12-14,1.0225
2018-12-17,1.001
2018-12-18,0.994
2018-12-19,1.0085
2018-12-20,1.025
2018-12-21,0.997
2018-12-24,1.022
2018-12-26,1.039
2018-12-27,1.0175
2018-12-28,1.0095
2018-12-31,1.0185
2019-01-02,0.995
2019-01-03,1.0215
2019-01-04,1.016
2019-01-07,1.0275
2019-01-08,1.0505
2019-01-09,1.053
2019-01-10,1.0425
2019-01-11,1.0385
2019-01-14,1.0275
2019-01-15,1.013
2019-01-16,1.024
2019-01-17,1.024
2019-01-18,1.0495
2019-01-22,1.0335
2019-01-23,1.034
2019-01-24,1.053
2019-01-25,1.068
2019-01-28,1.0265
2019-01-29,1.026
2019-01-30,1.021
2019-01-31,1.059
2019-02-01,1.037
2019-02-04,1.056
2019-02-05,1.0485
2019-02-06,1.055
2019-02-07,1.043
2019-02-08,1.026
2019-02-11,1.002
2019-02-12,1.0045
2019-02-13,0.989
2019-02-14,0.9785
2019-02-15,0.9795
2019-02-19,0.972
2019-02-20,1.014
2019-02-21,0.9945
2019-02-22,1.0
2019-02-25,0.9985
2019-02-26,0.968
2019-02-27,0.9895
2019-02-28,0.9845
2019-03-01,1.002
2019-03-04,0.9735
2019-03-05,0.9965
2019-03-06,0.987
2019-03-07,0.9685
2019-03-08,0.985
2019-03-11,0.972
2019-03-12,0.96
2019-03-13,0.9765
2019-03-14,0.9715
2019-03-15,0.978
2019-03-18,0.9685
2019-03-19,0.9665
2019-03-20,0.9475
2019-03-21,0.948
2019-03-22,0.939
2019-03-25,0.9425
2019-03-26,0.9535
2019-03-27,0.9385
2019-03-28,0.94
2019-03-29,0.945
2019-04-01,0.921
2019-04-02,0.9165
2019-04-03,0.9535
2019-04-04,0.953
2019-04-05,0.932
2019-04-08,0.9295
2019-04-09,0.9365
2019-04-10,0.9425
2019-04-11,0.9025
2019-04-12,0.904
2019-04-15,0.914
2019-04-16,0.905
2019-04-17,0.8705
2019-04-18,0.929
2019-04-22,0.9285
2019-04-23,0.9325
2019-04-24,0.9235
2019-04-25,0.9335
2019-04-26,0.941
2019-04-29,0.9265
2019-04-30,0.9315
2019-05-01,0.911
2019-05-02,0.9155
2019-05-03,0.906
2019-05-06,0.9015
2019-05-07,0.88
2019-05-08,0.8855
2019-05-09,0.9085
2019-05-10,0.908
2019-05-13,0.896
2019-05-14,0.9095
2019-05-15,0.913
2019-05-16,0.9165
2019-05-17,0.89
2019-05-20,0.899
2019-05-21,0.929
2019-05-22,0.9175
2019-05-23,0.935
2019-05-24,0.933
2019-05-28,0.9605
2019-05-29,0.995
2019-05-30,1.0235
2019-05-31,1.046
2019-06-03,1.0375
2019-06-04,1.0565
2019-06-05,0.991
2019-06-06,1.0205
2019-06-07,1.0095
2019-06-10,0.986
2019-06-11,0.97
2019-06-12,0.9905
2019-06-13,0.9735
2019-06-14,0.96
2019-06-17,0.9605
2019-06-18,0.943
2019-06-19,0.9625
2019-06-20,1.018
2019-06-21,1.0065
2019-06-24,1.03
2019-06-25,1.0745
2019-06-26,1.0605
2019-06-27,1.067
2019-06-28,1.0945
2019-07-01,1.1135
2019-07-02,1.0965
2019-07-03,1.1365
2019-07-05,1.111
2019-07-08,1.064
2019-07-09,1.0745
2019-07-10,1.059
2019-07-11,1.0695
2019-07-12,1.0665
2019-07-15,1.1025
2019-07-16,1.0555
2019-07-17,1.074
